model,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std,fit_time_s
Random Forest,0.7743879007433125,0.010854669872082976,0.7972586218151521,0.016404217989109616,0.736439836902584,0.014240006611560689,0.765492265945098,0.010776742547204917,0.8652534300214864,0.013033017751849627,1.97
Extra Trees,0.7728566506311517,0.011017068192362688,0.8230598591704007,0.019662229827902403,0.6957534885389389,0.011051683264398761,0.7539225340746211,0.010565921354316266,0.8616355200231338,0.013165673953367317,1.31
Gradient Boosting,0.7650921872625929,0.014793812598552064,0.8004031627948363,0.02499676651086395,0.7073489495521995,0.002909789994221274,0.7508590068785949,0.01241919768247955,0.858491008367564,0.013158447360856395,1.74
K-Nearest Neighbors,0.7687014343431201,0.01109527666305513,0.7925378080642996,0.01764919590410091,0.728565005799285,0.01204338565867415,0.7590635123225671,0.010413483473683344,0.8299900345026645,0.01564767093630107,2.03
Decision Tree,0.7405955951584788,0.008746160579903715,0.7882755187005954,0.025658868892879806,0.6607793760686826,0.036720248923750524,0.7176558727916479,0.014914405299350198,0.8276566003827327,0.0092865225982554,0.11
SVM (RBF),0.7420188119202779,0.013937929856556548,0.8147785040803501,0.01645270246520576,0.626422259688393,0.019177223900080732,0.7082076594328759,0.01714130074116374,0.8274703987117317,0.013355905407835657,11.97
Gaussian Naive Bayes,0.6306875730541136,0.004146630299283396,0.9391189735288078,0.011725509373390439,0.279529361122072,0.007111640348916621,0.43077056426879307,0.008713568137463637,0.7899682811334892,0.013146941701270542,2.34
Logistic Regression,0.6990387065668245,0.01218290861220509,0.7534799943540602,0.022546290025870934,0.5927414475493537,0.008162739655801478,0.663329563293013,0.010012160874544816,0.765783869471203,0.013717634345099032,2.45
