threshold,accuracy,precision,recall,f1
0.05,0.526246719160105,0.5135013501350135,0.9982502187226596,0.6781575037147103
0.06,0.5415573053368329,0.5217192501143119,0.9982502187226596,0.6852852852852853
0.07,0.5603674540682415,0.5323033707865169,0.994750656167979,0.6935041171088746
0.08,0.5730533683289589,0.539667458432304,0.9938757655293088,0.6995073891625616
0.09,0.5848643919510061,0.5467695274831244,0.9921259842519685,0.7050046627292509
0.1,0.5918635170603674,0.5511695906432749,0.989501312335958,0.707981220657277
0.11,0.5962379702537183,0.5540275049115914,0.9868766404199475,0.7096571248820384
0.12,0.600174978127734,0.5564874198322645,0.9868766404199475,0.7116719242902209
0.13,0.6058617672790901,0.5602589641434262,0.984251968503937,0.7140590288797207
0.14,0.6224846894138233,0.5711382113821138,0.9833770778652668,0.7225972356155577
0.15,0.6303587051618548,0.5766460905349794,0.9807524059492564,0.7262714609653386
0.16,0.6404199475065617,0.5838996340825928,0.9772528433945756,0.731020942408377
0.17,0.6482939632545932,0.590015932023367,0.9720034995625547,0.7343027098479842
0.18,0.6535433070866141,0.5940010712372791,0.9702537182852143,0.7368770764119601
0.19,0.6561679790026247,0.5961227786752827,0.968503937007874,0.738
0.2,0.6614173228346457,0.6002172732210755,0.9667541557305337,0.7406166219839142
0.21,0.6666666666666666,0.6043835616438357,0.9650043744531933,0.7432614555256065
0.22,0.6762904636920385,0.6123814835471277,0.9606299212598425,0.7479564032697548
0.23,0.6819772528433946,0.6173814898419865,0.9571303587051618,0.7506003430531732
0.24,0.689413823272091,0.6246401842256765,0.9492563429571304,0.7534722222222222
0.25,0.6964129483814523,0.6333927510398099,0.9326334208223972,0.7544232130219392
0.26,0.7038495188101487,0.6407004830917874,0.9282589676290464,0.7581279028224366
0.27,0.7195975503062118,0.6560945273631841,0.9230096237970253,0.7669938204289349
0.28,0.7283464566929134,0.6653992395437263,0.9186351706036745,0.7717750826901875
0.29,0.7327209098862643,0.6707317073170732,0.9142607174103237,0.7737874861162533
0.3,0.7379702537182852,0.6770833333333334,0.9098862642169728,0.7764091078760732
0.31,0.7414698162729659,0.6820580474934037,0.9046369203849519,0.7777359909740504
0.32,0.7458442694663167,0.6880856760374833,0.8993875765529309,0.7796738718240425
0.33,0.7502187226596675,0.6937669376693767,0.8958880139982502,0.7819778541428026
0.34,0.7563429571303587,0.7046089385474861,0.8827646544181977,0.7836893203883495
0.35,0.7620297462817148,0.7128642501776831,0.8775153105861767,0.7866666666666666
0.36,0.7637795275590551,0.7170626349892009,0.8713910761154856,0.7867298578199052
0.37,0.7637795275590551,0.71959213401311,0.8643919510061242,0.7853736089030207
0.38,0.7659667541557306,0.7251851851851852,0.8565179352580927,0.7853991175290814
0.39,0.7720909886264217,0.7341867469879518,0.8530183727034121,0.7891541885876163
0.4,0.773403324584427,0.7409406322282189,0.8407699037620298,0.7877049180327869
0.41,0.7742782152230971,0.7482185273159145,0.8267716535433071,0.7855361596009975
